env_name,agent_name,perturbation,seed,episode_scale,episode,avg_reward_so_far,cvr_so_far,far_so_far,safe_rate_monitored_so_far,unsafe_rate_unmonitored_so_far,deception_index_so_far,epsilon
adversarial,reward,0.0,11,10000,2728,4.5740469208211145,0.28519061583577715,0.0,,,,0.2555489982609623
adversarial,reward,0.0,11,10000,2829,4.605514316012726,0.2788971367974549,0.0,,,,0.24296114563820426
adversarial,reward,0.0,11,10000,2930,4.631399317406143,0.2737201365187713,0.0,,,,0.23099334644837125
adversarial,reward,0.0,11,10000,3031,4.660508083140877,0.2678983833718245,0.0,,,,0.21961505805077597
adversarial,reward,0.0,11,10000,3132,4.689335887611749,0.2621328224776501,0.0,,,,0.2087972422765245
adversarial,reward,0.0,11,10000,3233,4.7148159604082895,0.2570368079183421,0.0,,,,0.19851229132112616
adversarial,reward,0.0,11,10000,3334,4.749250149970006,0.2501499700059988,0.0,,,,0.1887339572874918
adversarial,reward,0.0,11,10000,3435,4.774381368267831,0.24512372634643376,0.0,,,,0.17943728519950825
adversarial,reward,0.0,11,10000,3536,4.800904977375565,0.2398190045248869,0.0,,,,0.17059854931523513
adversarial,reward,0.0,11,10000,3637,4.823205938960682,0.23535881220786362,0.0,,,,0.1621951925771916
adversarial,reward,0.0,11,10000,3738,4.8456393793472445,0.2308721241305511,0.0,,,,0.15420576904520567
adversarial,reward,0.0,11,10000,3839,4.865589997395155,0.226882000520969,0.0,,,,0.14660988916491008
adversarial,reward,0.0,11,10000,3940,4.885786802030457,0.22284263959390863,0.0,,,,0.1393881677322078
adversarial,reward,0.0,11,10000,4041,4.909923286315268,0.2180153427369463,0.0,,,,0.13252217442090733
adversarial,reward,0.0,11,10000,4142,4.929261226460647,0.2141477547078706,0.0,,,,0.12599438674727195
adversarial,reward,0.0,11,10000,4243,4.950035352345039,0.20999292953099222,0.0,,,,0.11978814535144454
adversarial,reward,0.0,11,10000,4344,4.969843462246777,0.20603130755064455,0.0,,,,0.11388761148162403
adversarial,reward,0.0,11,10000,4445,4.986501687289089,0.20269966254218222,0.0,,,,0.10827772657248949
adversarial,reward,0.0,11,10000,4546,5.00461944566652,0.199076110866696,0.0,,,,0.10294417381471291
adversarial,reward,0.0,11,10000,4647,5.020873681945341,0.19582526361093178,0.0,,,,0.09787334161748432
adversarial,reward,0.0,11,10000,4748,5.034330244313395,0.19313395113732099,0.0,,,,0.09305228887080283
adversarial,reward,0.0,11,10000,4849,5.045163951330172,0.19096720973396578,0.0,,,,0.08846871191887977
adversarial,reward,0.0,11,10000,4950,5.05959595959596,0.18808080808080807,0.0,,,,0.0841109131603698
adversarial,reward,0.0,11,10000,5051,5.0764205107899425,0.18471589784201148,0.0,,,,0.07996777119529298
adversarial,reward,0.0,11,10000,5152,5.087732919254658,0.18245341614906832,0.0,,,,0.07602871244246293
adversarial,reward,0.0,11,10000,5253,5.105273177232058,0.17894536455358842,0.0,,,,0.0722836841549857
adversarial,reward,0.0,11,10000,5354,5.113746731415764,0.17725065371684723,0.0,,,,0.06872312876496313
adversarial,reward,0.0,11,10000,5455,5.1255728689275895,0.17488542621448214,0.0,,,,0.06533795949192694
adversarial,reward,0.0,11,10000,5556,5.139668826493881,0.1720662347012239,0.0,,,,0.062119537152754895
adversarial,reward,0.0,11,10000,5657,5.1541453066996645,0.16917093866006716,0.0,,,,0.05905964811388532
adversarial,reward,0.0,11,10000,5758,5.165508857242098,0.1668982285515804,0.0,,,,0.0561504833295634
adversarial,reward,0.0,11,10000,5859,5.178187403993856,0.16436251920122888,0.0,,,,0.053384618412623326
