environment,method,seed,true_utility,violation_rate,proxy_true_gap
truth_proxy,CPO,151,1.0,0.0,1.5015625
truth_proxy,CPO,163,1.0,0.0,1.49375
truth_proxy,CPO,179,1.0,0.0,1.51796875
truth_proxy,CPO,191,1.0,0.0,1.52265625
truth_proxy,CPO,211,1.0,0.0,1.5078125
truth_proxy,CPO,223,1.0,0.0,1.5078125
truth_proxy,CPO,239,1.0,0.0,1.5125
truth_proxy,CPO,251,1.0,0.0,1.50546875
truth_proxy,CPO,269,1.0,0.0,1.5
truth_proxy,CPO,281,1.0,0.0,1.5
truth_proxy,CPO,293,1.0,0.0,1.47890625
truth_proxy,CPO,307,1.0,0.0,1.51171875
truth_proxy,CPO,331,1.0,0.0,1.4859375
truth_proxy,CPO,347,1.0,0.0,1.49296875
truth_proxy,CPO,359,1.0,0.0,1.49609375
truth_proxy,CPO,373,1.0,0.0,1.50078125
truth_proxy,CPO,389,1.0,0.0,1.5140625
truth_proxy,CPO,401,1.0,0.0,1.509375
truth_proxy,PPOLag,11,1.0,0.0,1.45390625
truth_proxy,PPOLag,17,1.0,0.0,1.46015625
truth_proxy,PPOLag,23,1.0,0.0,1.4640625
truth_proxy,PPOLag,31,1.0,0.0,1.453125
truth_proxy,PPOLag,47,1.0,0.0,1.46484375
truth_proxy,PPOLag,59,1.0,0.0,1.48046875
truth_proxy,PPOLag,71,1.0,0.0,1.45390625
truth_proxy,PPOLag,83,1.0,0.0,1.47421875
truth_proxy,PPOLag,97,1.0,0.0,1.4828125
truth_proxy,PPOLag,109,1.0,0.0,1.496875
truth_proxy,PPOLag,127,1.0,0.0,1.5
truth_proxy,PPOLag,139,1.0,0.0,1.5140625
truth_proxy,PPOLag,151,1.0,0.0,1.4890625
truth_proxy,PPOLag,163,1.0,0.0,1.4875
truth_proxy,PPOLag,179,1.0,0.0,1.490625
truth_proxy,PPOLag,191,1.0,0.0,1.5125
truth_proxy,PPOLag,211,1.0,0.0,1.46875
truth_proxy,PPOLag,223,1.0,0.0,1.47578125
truth_proxy,PPOLag,239,1.0,0.0,1.484375
truth_proxy,PPOLag,251,1.0,0.0,1.49609375
truth_proxy,PPOLag,269,1.0,0.0,1.51796875
truth_proxy,PPOLag,281,1.0,0.0,1.53046875
truth_proxy,PPOLag,293,1.0,0.0,1.54453125
truth_proxy,PPOLag,307,1.0,0.0,1.55625
truth_proxy,PPOLag,331,1.0,0.0,1.546875
truth_proxy,PPOLag,347,1.0,0.0,1.5359375
truth_proxy,PPOLag,359,1.0,0.0,1.5375
truth_proxy,PPOLag,373,1.0,0.0,1.54140625
truth_proxy,PPOLag,389,1.0,0.0,1.51875
truth_proxy,PPOLag,401,1.0,0.0,1.503125
truth_proxy,RCPO,11,1.0,0.0,1.45390625
truth_proxy,RCPO,17,1.0,0.0,1.46015625
truth_proxy,RCPO,23,1.0,0.0,1.4640625
truth_proxy,RCPO,31,1.0,0.0,1.453125
truth_proxy,RCPO,47,1.0,0.0,1.46484375
truth_proxy,RCPO,59,1.0,0.0,1.48046875
truth_proxy,RCPO,71,1.0,0.0,1.45390625
truth_proxy,RCPO,83,1.0,0.0,1.47421875
truth_proxy,RCPO,97,1.0,0.0,1.4828125
truth_proxy,RCPO,109,1.0,0.0,1.496875
truth_proxy,RCPO,127,1.0,0.0,1.5
